neo4j_id,type
734,Disease
735,Drug
736,Drug
737,Disease
738,Drug
739,Drug
740,Drug
741,Drug
742,Disease
743,Drug
744,Disease
745,Disease
746,Drug
747,Drug
748,Drug
749,Drug
750,Drug
751,Drug
752,Drug
753,Drug
754,Drug
755,Drug
756,Drug
757,Drug
758,Drug
759,Disease
760,Disease
761,Drug
762,Drug
763,Drug
764,Drug
765,Drug
766,Drug
767,Drug
768,Drug
769,Drug
770,Disease
771,Drug
772,Drug
773,Disease
774,Drug
775,Drug
776,Drug
777,Disease
778,Drug
779,Drug
780,Drug
781,Drug
782,Drug
783,Drug
784,Drug
785,Disease
786,Drug
787,Drug
788,Disease
789,Drug
790,Drug
791,Drug
792,Disease
793,Drug
794,Drug
795,Drug
796,Disease
797,Drug
798,Drug
799,Disease
800,Disease
801,Disease
802,Disease
803,Disease
804,Disease
805,Drug
806,Drug
807,Drug
808,Drug
809,Drug
810,Drug
811,Drug
812,Drug
813,Drug
814,Drug
815,Drug
816,Drug
817,Drug
818,Drug
819,Disease
820,Drug
821,Drug
822,Disease
823,Drug
824,Drug
825,Drug
826,Drug
827,Drug
828,Disease
829,Drug
830,Disease
831,Drug
832,Drug
833,Drug
834,Drug
835,Disease
836,Drug
837,Drug
838,Drug
839,Disease
840,Disease
841,Drug
842,Drug
843,Drug
844,Drug
845,Drug
846,Drug
847,Drug
848,Drug
849,Drug
850,Drug
851,Drug
852,Disease
853,Drug
854,Drug
855,Drug
856,Drug
857,Drug
858,Disease
859,Disease
860,Drug
861,Drug
862,Drug
863,Drug
864,Disease
865,Drug
866,Drug
867,Drug
868,Disease
869,Drug
870,Drug
871,Drug
872,Drug
873,Disease
874,Disease
875,Disease
876,Disease
877,Drug
878,Drug
879,Drug
880,Drug
881,Drug
882,Drug
883,Disease
884,Drug
885,Disease
886,Drug
887,Drug
888,Drug
889,Drug
890,Drug
891,Drug
892,Drug
893,Drug
894,Drug
895,Drug
896,Drug
897,Drug
898,Drug
899,Drug
900,Drug
901,Drug
902,Drug
903,Disease
904,Disease
905,Drug
906,Drug
907,Disease
908,Drug
909,Drug
910,Drug
911,Drug
912,Drug
913,Drug
914,Disease
915,Disease
916,Drug
917,Disease
918,Drug
919,Drug
920,Drug
921,Drug
922,Drug
923,Drug
924,Drug
925,Disease
926,Drug
927,Disease
928,Drug
929,Disease
930,Disease
931,Disease
932,Drug
933,Disease
934,Drug
935,Drug
936,Drug
937,Drug
938,Drug
939,Drug
940,Drug
941,Drug
942,Drug
943,Drug
944,Drug
945,Drug
946,Drug
947,Drug
948,Disease
949,Drug
950,Drug
951,Drug
952,Disease
953,Drug
954,Drug
955,Drug
956,Disease
957,Drug
958,Drug
959,Drug
960,Drug
961,Drug
962,Drug
963,Drug
964,Drug
965,Drug
966,Drug
967,Drug
968,Disease
969,Drug
970,Disease
971,Drug
972,Drug
973,Drug
974,Drug
975,Disease
976,Drug
977,Drug
978,Drug
979,Disease
980,Disease
981,Drug
982,Drug
983,Drug
984,Disease
985,Drug
986,Disease
987,Drug
988,Drug
989,Disease
990,Drug
991,Drug
992,Drug
993,Drug
994,Disease
995,Disease
996,Drug
997,Drug
998,Drug
999,Drug
1000,Drug
1001,Drug
1002,Drug
1003,Drug
1004,Drug
1005,Drug
1006,Drug
1007,Drug
1008,Drug
1009,Drug
1010,Drug
1011,Disease
1012,Disease
1013,Drug
1014,Drug
1015,Drug
1016,Drug
1017,Drug
1018,Drug
1019,Drug
1020,Drug
1021,Drug
1022,Drug
1023,Drug
1024,Disease
1025,Disease
1026,Drug
1027,Drug
1028,Drug
1029,Drug
1030,Disease
1031,Drug
1032,Drug
1033,Disease
1034,Disease
1035,Drug
1036,Drug
1037,Drug
1038,Disease
1039,Drug
1040,Drug
1041,Drug
1042,Drug
1043,Drug
1044,Drug
1045,Drug
1046,Drug
1047,Drug
1048,Drug
1049,Disease
1050,Drug
1051,Drug
1052,Drug
1053,Drug
1054,Disease
1055,Drug
1056,Disease
1057,Disease
1058,Drug
1059,Drug
1060,Drug
1061,Drug
1062,Drug
1063,Drug
1064,Drug
1065,Drug
1066,Drug
1067,Drug
1068,Disease
1069,Drug
1070,Disease
1071,Drug
1072,Drug
1073,Drug
1074,Disease
1075,Drug
1076,Drug
1077,Drug
1078,Disease
1079,Disease
1080,Drug
1081,Drug
1082,Drug
1083,Drug
1084,Drug
1085,Disease
1086,Disease
1087,Disease
1088,Drug
1089,Drug
1090,Disease
1091,Drug
1092,Disease
1093,Drug
1094,Disease
1095,Disease
1096,Disease
1097,Drug
1098,Disease
1099,Drug
1100,Disease
1101,Disease
1102,Disease
1103,Disease
1104,Drug
1105,Drug
1106,Drug
1107,Disease
1108,Drug
1109,Drug
1110,Drug
1111,Drug
1112,Drug
1113,Drug
1114,Drug
1115,Drug
1116,Drug
1117,Drug
1118,Drug
1119,Drug
1120,Drug
1121,Drug
1122,Disease
1123,Drug
1124,Drug
1125,Drug
1126,Drug
1127,Drug
1128,Drug
1129,Drug
1130,Drug
1131,Disease
1132,Drug
1133,Drug
1134,Drug
1135,Disease
1136,Drug
1137,Drug
1138,Drug
1139,Drug
1140,Drug
1141,Drug
1142,Drug
1143,Drug
1144,Drug
1145,Drug
1146,Drug
1147,Drug
1148,Drug
1149,Disease
1150,Drug
1151,Drug
1152,Drug
1153,Disease
1154,Drug
1155,Drug
1156,Drug
1157,Disease
1158,Drug
1159,Drug
1160,Drug
1161,Drug
1162,Drug
1163,Drug
1164,Drug
1165,Drug
1166,Drug
1167,Drug
1168,Drug
1169,Drug
1170,Disease
1171,Drug
1172,Drug
1173,Drug
1174,Drug
1175,Drug
1176,Drug
1177,Drug
1178,Drug
1179,Drug
1180,Drug
1181,Drug
1182,Drug
1183,Drug
1184,Drug
1185,Drug
1186,Drug
1187,Drug
1188,Drug
1189,Drug
1190,Disease
1191,Drug
1192,Disease
1193,Drug
1194,Drug
1195,Disease
1196,Disease
1197,Drug
1198,Drug
1199,Drug
1200,Drug
1201,Drug
1202,Drug
1203,Drug
1204,Disease
1205,Drug
1206,Drug
1207,Drug
1208,Drug
1209,Disease
1210,Disease
1211,Drug
1212,Drug
1213,Drug
1214,Drug
1215,Drug
1216,Drug
1217,Disease
1218,Drug
1219,Drug
1220,Drug
1221,Drug
1222,Disease
1223,Drug
1224,Drug
1225,Drug
1226,Drug
1227,Drug
1228,Drug
1229,Drug
1230,Drug
1231,Drug
1232,Drug
1233,Drug
1234,Drug
1235,Drug
1236,Drug
1237,Disease
1238,Drug
1239,Drug
1240,Drug
1241,Drug
1242,Drug
1243,Drug
1244,Disease
1245,Drug
1246,Drug
1247,Drug
1248,Drug
1249,Disease
1250,Drug
1251,Drug
1252,Disease
1253,Drug
1254,Drug
1255,Drug
1256,Drug
1257,Drug
1258,Drug
1259,Drug
1260,Drug
1261,Disease
1262,Disease
1263,Disease
1264,Drug
1265,Drug
1266,Drug
1267,Drug
1268,Drug
1269,Disease
1270,Drug
1271,Drug
1272,Drug
1273,Drug
1274,Disease
1275,Drug
1276,Drug
1277,Drug
1278,Drug
1279,Drug
1280,Drug
1281,Drug
1282,Drug
1283,Drug
1284,Drug
1285,Drug
1286,Drug
1287,Drug
1288,Drug
1289,Drug
1290,Drug
1291,Drug
1292,Disease
1293,Drug
1294,Drug
1295,Drug
1296,Drug
1297,Drug
1298,Drug
1299,Disease
1300,Disease
1301,Drug
1302,Drug
1303,Drug
1304,Disease
1305,Drug
1306,Drug
1307,Disease
1308,Drug
1309,Disease
1310,Drug
1311,Disease
1312,Disease
1313,Drug
1314,Disease
1315,Drug
1316,Drug
1317,Drug
1318,Drug
1319,Drug
1320,Drug
1321,Disease
1322,Drug
1323,Drug
1324,Drug
1325,Drug
1326,Drug
1327,Drug
1328,Drug
1329,Drug
1330,Drug
1331,Disease
1332,Drug
1333,Disease
1334,Drug
1335,Drug
1336,Disease
1337,Drug
1338,Drug
1339,Drug
1340,Drug
1341,Drug
1342,Drug
1343,Drug
1344,Drug
1345,Drug
1346,Drug
1347,Drug
1348,Drug
1349,Drug
1350,Drug
1351,Drug
1352,Drug
1353,Drug
1354,Drug
1355,Drug
1356,Drug
1357,Drug
1358,Drug
1359,Drug
1360,Disease
1361,Drug
1362,Drug
1363,Drug
1364,Disease
1365,Drug
1366,Drug
1367,Drug
1368,Drug
1369,Drug
1370,Drug
1371,Drug
1372,Drug
1373,Drug
1374,Drug
1375,Drug
1376,Drug
1377,Drug
1378,Drug
1379,Drug
1380,Drug
1381,Drug
1382,Drug
1383,Disease
1384,Drug
1385,Disease
1386,Drug
1387,Drug
1388,Drug
1389,Drug
1390,Drug
1391,Drug
1392,Drug
1393,Drug
1394,Drug
1395,Disease
1396,Drug
1397,Drug
1398,Drug
1399,Drug
1400,Drug
1401,Drug
1402,Disease
1403,Drug
1404,Drug
1405,Drug
1406,Drug
1407,Drug
1408,Drug
1409,Drug
1410,Drug
1411,Drug
1412,Drug
1413,Drug
1414,Drug
1415,Drug
1416,Drug
1417,Drug
1418,Drug
1419,Drug
1420,Drug
1421,Drug
1422,Drug
1423,Drug
1424,Drug
1425,Drug
1426,Drug
1427,Drug
1428,Drug
1429,Drug
1430,Drug
1431,Drug
1432,Drug
1433,Drug
1434,Drug
1435,Disease
1436,Drug
1437,Drug
1438,Drug
1439,Drug
1440,Drug
1441,Drug
1442,Drug
1443,Drug
1444,Drug
1445,Drug
1446,Drug
1447,Drug
1448,Drug
1449,Drug
1450,Drug
1451,Drug
1452,Drug
1453,Drug
1454,Drug
1455,Drug
1456,Drug
1457,Drug
1458,Drug
1459,Drug
1460,Drug
1461,Drug
1462,Drug
1463,Drug
1464,Drug
1465,Drug
1466,Drug
1467,Drug
1468,Drug
1469,Drug
1470,Drug
1471,Drug
1472,Drug
1473,Drug
1474,Disease
1475,Drug
1476,Drug
1477,Disease
1478,Drug
1479,Drug
1480,Drug
1481,Drug
1482,Drug
1483,Drug
1484,Drug
1485,Drug
1486,Drug
1487,Disease
1488,Drug
1489,Drug
1490,Drug
1491,Drug
1492,Drug
1493,Drug
1494,Drug
1495,Drug
1496,Drug
1497,Drug
1498,Drug
1499,Drug
1500,Drug
1501,Drug
1502,Drug
1503,Drug
1504,Disease
1505,Drug
1506,Drug
1507,Drug
1508,Drug
1509,Drug
1510,Drug
1511,Drug
1512,Drug
1513,Drug
1514,Disease
1515,Drug
1516,Drug
1517,Drug
1518,Disease
1519,Drug
1520,Drug
1521,Drug
1522,Drug
1523,Drug
1524,Drug
1525,Drug
1526,Drug
1527,Drug
1528,Drug
1529,Disease
1530,Drug
1531,Drug
1532,Disease
1533,Drug
1534,Drug
1535,Drug
1536,Drug
1537,Drug
1538,Drug
1539,Disease
1540,Disease
1541,Disease
1542,Drug
1543,Drug
1544,Drug
1545,Disease
1546,Drug
1547,Drug
1548,Drug
1549,Drug
1550,Drug
1551,Drug
1552,Drug
1553,Drug
1554,Disease
1555,Drug
1556,Drug
1557,Drug
1558,Drug
1559,Drug
1560,Drug
1561,Drug
1562,Drug
1563,Drug
1564,Drug
1565,Drug
1566,Drug
1567,Drug
1568,Drug
1569,Drug
1570,Disease
1571,Drug
1572,Drug
1573,Disease
1574,Drug
1575,Drug
1576,Disease
1577,Drug
1578,Disease
1579,Disease
1580,Drug
1581,Drug
1582,Drug
1583,Drug
1584,Drug
1585,Disease
1586,Drug
1587,Disease
1588,Drug
1589,Drug
1590,Drug
1591,Drug
1592,Disease
1593,Drug
1594,Drug
1595,Drug
1596,Drug
1597,Disease
1598,Drug
1599,Drug
1600,Drug
1601,Drug
1602,Drug
1603,Drug
1604,Drug
1605,Drug
1606,Drug
1607,Drug
1608,Drug
1609,Drug
1610,Drug
1611,Disease
1612,Drug
1613,Disease
1614,Disease
1615,Drug
1616,Drug
1617,Drug
1618,Disease
1619,Drug
1620,Drug
1621,Drug
1622,Drug
1623,Drug
1624,Drug
1625,Drug
1626,Disease
1627,Drug
1628,Disease
1629,Drug
1630,Drug
1631,Disease
1632,Disease
1633,Drug
1634,Drug
1635,Drug
1636,Disease
1637,Disease
1638,Drug
1639,Drug
1640,Drug
1641,Drug
1642,Drug
1643,Drug
1644,Drug
1645,Drug
1646,Drug
1647,Drug
1648,Disease
1649,Drug
1650,Drug
1651,Drug
1652,Drug
1653,Disease
1654,Drug
1655,Drug
1656,Drug
1657,Disease
1658,Drug
1659,Drug
1660,Disease
1661,Drug
1662,Drug
1663,Drug
1664,Drug
1665,Disease
1666,Disease
1667,Drug
1668,Disease
1669,Drug
1670,Disease
1671,Drug
1672,Drug
1673,Disease
1674,Drug
1675,Drug
1676,Drug
1677,Drug
1678,Drug
1679,Drug
1680,Drug
1681,Drug
1682,Disease
1683,Drug
1684,Drug
1685,Drug
1686,Drug
1687,Drug
1688,Drug
1689,Drug
1690,Drug
1691,Drug
1692,Drug
1693,Drug
1694,Drug
1695,Drug
1696,Drug
1697,Drug
1698,Disease
1699,Drug
1700,Drug
1701,Drug
1702,Disease
1703,Drug
1704,Drug
1705,Disease
1706,Drug
1707,Drug
1708,Drug
1709,Drug
1710,Drug
1711,Drug
1712,Drug
1713,Drug
1714,Drug
1715,Drug
1716,Drug
1717,Drug
1718,Drug
1719,Drug
1720,Drug
1721,Drug
1722,Drug
1723,Drug
1724,Disease
1725,Disease
1726,Drug
1727,Disease
1728,Drug
1729,Drug
1730,Drug
1731,Drug
1732,Drug
1733,Drug
1734,Disease
1735,Drug
1736,Drug
1737,Drug
1738,Drug
1739,Disease
1740,Drug
1741,Drug
1742,Drug
1743,Drug
1744,Disease
1745,Drug
1746,Drug
1747,Drug
1748,Drug
1749,Drug
1750,Drug
1751,Drug
1752,Drug
1753,Drug
1754,Drug
1755,Drug
1756,Drug
1757,Drug
1758,Drug
1759,Disease
1760,Disease
1761,Drug
1762,Drug
1763,Drug
1764,Drug
1765,Drug
1766,Drug
1767,Disease
1768,Drug
1769,Drug
1770,Drug
1771,Drug
1772,Drug
1773,Drug
1774,Drug
1775,Drug
1776,Drug
1777,Drug
1778,Disease
1779,Drug
1780,Disease
1781,Drug
1782,Drug
1783,Drug
1784,Drug
1785,Drug
1786,Drug
1787,Disease
1788,Drug
1789,Drug
1790,Drug
1791,Drug
1792,Drug
1793,Drug
1794,Drug
1795,Drug
1796,Disease
1797,Disease
1798,Drug
1799,Drug
1800,Drug
1801,Drug
1802,Drug
1803,Drug
1804,Drug
1805,Drug
1806,Drug
1807,Drug
1808,Drug
1809,Drug
1810,Disease
1811,Disease
1812,Drug
1813,Drug
1814,Drug
1815,Drug
1816,Disease
1817,Drug
1818,Disease
1819,Drug
1820,Disease
1821,Drug
1822,Drug
1823,Drug
1824,Drug
1825,Drug
1826,Disease
1827,Drug
1828,Disease
1829,Drug
1830,Drug
1831,Drug
1832,Disease
1833,Drug
1834,Drug
1835,Drug
1836,Drug
1837,Disease
1838,Drug
1839,Drug
1840,Disease
1841,Drug
1842,Drug
1843,Drug
1844,Drug
1845,Drug
1846,Drug
1847,Drug
1848,Drug
1849,Drug
1850,Drug
1851,Drug
1852,Drug
1853,Drug
1854,Drug
1855,Disease
1856,Drug
1857,Drug
1858,Drug
1859,Drug
1860,Drug
1861,Drug
1862,Drug
1863,Drug
1864,Drug
1865,Drug
1866,Disease
1867,Drug
1868,Drug
1869,Drug
1870,Drug
1871,Drug
1872,Drug
1873,Drug
1874,Drug
1875,Disease
1876,Drug
1877,Drug
1878,Drug
1879,Drug
1880,Drug
1881,Disease
1882,Drug
1883,Drug
1884,Drug
1885,Drug
1886,Disease
1887,Drug
1888,Disease
1889,Drug
1890,Drug
1891,Drug
1892,Drug
1893,Drug
1894,Drug
1895,Drug
1896,Drug
1897,Drug
1898,Drug
1899,Drug
1900,Disease
1901,Drug
1902,Drug
1903,Drug
1904,Drug
1905,Disease
1906,Drug
1907,Disease
1908,Drug
1909,Drug
1910,Drug
1911,Drug
1912,Drug
1913,Disease
1914,Drug
1915,Disease
1916,Disease
1917,Drug
1918,Drug
1919,Drug
1920,Drug
1921,Drug
1922,Drug
1923,Drug
1924,Drug
1925,Drug
1926,Drug
1927,Drug
1928,Drug
1929,Drug
1930,Disease
1931,Drug
1932,Drug
1933,Drug
1934,Drug
1935,Drug
1936,Drug
1937,Drug
1938,Drug
1939,Drug
1940,Drug
1941,Drug
1942,Drug
1943,Drug
1944,Drug
1945,Drug
1946,Drug
1947,Drug
1948,Drug
1949,Drug
1950,Drug
1951,Drug
1952,Disease
1953,Drug
1954,Drug
1955,Drug
1956,Drug
1957,Drug
1958,Drug
1959,Drug
1960,Drug
1961,Drug
1962,Drug
1963,Drug
1964,Drug
1965,Drug
1966,Drug
1967,Drug
1968,Disease
1969,Drug
1970,Drug
1971,Drug
1972,Disease
1973,Disease
1974,Drug
1975,Drug
1976,Drug
1977,Drug
1978,Drug
1979,Drug
1980,Drug
1981,Drug
1982,Disease
1983,Drug
1984,Drug
1985,Drug
1986,Drug
1987,Drug
1988,Drug
1989,Drug
1990,Drug
1991,Drug
1992,Drug
1993,Drug
1994,Drug
1995,Drug
1996,Drug
1997,Drug
1998,Drug
1999,Drug
2000,Disease
2001,Drug
2002,Drug
2003,Disease
2004,Drug
2005,Disease
2006,Drug
2007,Drug
2008,Drug
2009,Drug
2010,Drug
2011,Drug
2012,Drug
2013,Drug
2014,Drug
2015,Drug
2016,Drug
2017,Drug
2018,Drug
2019,Drug
2020,Drug
2021,Drug
2022,Drug
2023,Drug
2024,Drug
2025,Disease
2026,Drug
2027,Drug
2028,Drug
2029,Drug
2030,Drug
2031,Drug
2032,Drug
2033,Disease
2034,Drug
2035,Drug
2036,Drug
2037,Drug
2038,Drug
2039,Drug
2040,Drug
2041,Drug
2042,Disease
2043,Disease
2044,Disease
2045,Drug
2046,Drug
2047,Drug
2048,Drug
2049,Disease
2050,Drug
2051,Drug
2052,Drug
2053,Drug
2054,Drug
2055,Drug
2056,Drug
2057,Disease
2058,Disease
2059,Drug
2060,Drug
2061,Drug
2062,Drug
2063,Drug
2064,Drug
2065,Drug
2066,Drug
2067,Drug
2068,Drug
2069,Drug
2070,Drug
2071,Drug
2072,Drug
2073,Drug
2074,Drug
2075,Drug
2076,Drug
2077,Drug
2078,Drug
2079,Drug
2080,Drug
2081,Drug
2082,Disease
2083,Drug
2084,Drug
2085,Drug
2086,Drug
2087,Drug
2088,Drug
2089,Drug
2090,Drug
2091,Drug
2092,Drug
2093,Drug
2094,Drug
2095,Drug
2096,Drug
2097,Drug
2098,Drug
2099,Drug
2100,Disease
2101,Drug
2102,Drug
2103,Drug
2104,Drug
2105,Drug
